what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513930567833
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513930570494
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513930572318
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513930572826
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513930573926
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513930574636
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513930575009
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513930575389
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513930575667
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513930575901
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513930576134
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513930576376
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513930578705
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513930579301
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513930579518
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513930579727
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513930579897
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513930580098
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513930580170
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513930580275
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513930580389
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513930580457
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513930580557
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513930580624
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513930581972
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513930582493
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513930586425
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513930590322
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513930593891
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1513930599998
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513930608195
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513930617675
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513930620008
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513930621273
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513930630877
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513930649885
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513930650364
