what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1514623778261
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1514623778261
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1514623778261
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1514623778262
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1514623778263
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1514623778263
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1514623778264
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1514623778264
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1514623778264
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1514623778265
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1514623778266
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1514623778267
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1514623778272
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1514623778272
started,bundle,com.altera.sbtgui.integration,13.0.0.156,"com.altera.sbtgui.integration",1514623778273
started,bundle,com.altera.sbtgui.project,13.0.0.156,"com.altera.sbtgui.project",1514623778273
started,bundle,com.altera.systemconsole,13.0.0.156,"com.altera.systemconsole",1514623778273
started,bundle,com.altera.systemconsole.designs.plugin,13.0.0.156,"com.altera.systemconsole.designs.plugin",1514623778274
started,bundle,com.altera.utilities,13.0.0.156,"com.altera.utilities",1514623778274
os,sysinfo,,,"win32",1514623778276
arch,sysinfo,,,"x86",1514623778276
ws,sysinfo,,,"win32",1514623778276
locale,sysinfo,,,"zh_CN",1514623778276
processors,sysinfo,,,"4",1514623778276
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1514623778276
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1514623778276
java.specification.name,sysinfo,,,"Java Platform API Specification",1514623778276
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1514623778276
java.specification.version,sysinfo,,,"1.6",1514623778276
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1514623778276
java.version,sysinfo,,,"1.6.0_23",1514623778276
java.vm.info,sysinfo,,,"mixed mode",1514623778276
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1514623778276
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1514623778276
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1514623778276
java.vm.specification.version,sysinfo,,,"1.0",1514623778276
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1514623778276
java.vm.version,sysinfo,,,"19.0-b09",1514623778276
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1514623778387
started,bundle,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch",1514623779342
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514623780314
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1514623781717
started,bundle,com.altera.sbtgui.core,13.0.0.156,"com.altera.sbtgui.core",1514623781858
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1514623782040
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1514623782059
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514623782148
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1514623782154
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1514623782154
started,bundle,com.altera.sbtgui.ui,13.0.0.156,"com.altera.sbtgui.ui",1514623785653
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1514623785820
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1514623786027
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1514623786045
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1514623786045
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1514623786046
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1514623786150
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514623787197
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1514623820906
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1514623822477
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1514623824828
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1514623824939
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1514623826283
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1514623827168
